AGENCY #,AGENCY TITLE,CLASSIFICATION,SERVICE TYPE,FULL/PART-TIME,ANNUAL SALARY
58030,OUS - Oregon State University,Administrator 3-Tier 1 H-COA,Executive/Admin and managerial,Full-Time,1060008
58030,OUS - Oregon State University,Administrator 3-PAC12 Md H-COA,Executive/Admin and managerial,Full-Time,800004
58030,OUS - Oregon State University,Executive 3-Athletics,Executive/Admin and managerial,Full-Time,545508
58030,OUS - Oregon State University,Coordinator-Tier 1 Asst COA,Other professionals,Full-Time,490008
58030,OUS - Oregon State University,Executive 1-President,Executive/Admin and managerial,Full-Time,485088
58030,OUS - Oregon State University,Administrator 3-Rev Oly H-COA,Executive/Admin and managerial,Full-Time,323640
58030,OUS - Oregon State University,Coordinator-Tier 1 Asst COA,Other professionals,Full-Time,320004
58030,OUS - Oregon State University,Coordinator-Tier 1 Asst COA,Other professionals,Full-Time,315000
58030,OUS - Oregon State University,Executive 1-Provost/Exec VP,Executive/Admin and managerial,Full-Time,309000
58030,OUS - Oregon State University,Administrator 3-PAC12 Md H-COA,Executive/Admin and managerial,Full-Time,275004
58030,OUS - Oregon State University,Coordinator-Tier 1 Asst COA,Other professionals,Full-Time,260004
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,255000
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,251172
58030,OUS - Oregon State University,Executive 2-Univ Rel & Mktg,Executive/Admin and managerial,Full-Time,247224
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,238068
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,237876
58030,OUS - Oregon State University,Executive 2-Fin & Admin,Executive/Admin and managerial,Full-Time,236004
58030,OUS - Oregon State University,Executive 2-CIO,Executive/Admin and managerial,Full-Time,235692
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,235020
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,235008
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,231756
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,227808
58030,OUS - Oregon State University,Coordinator-Tier 1 Asst COA,Other professionals,Full-Time,225000
58030,OUS - Oregon State University,Executive 2-Vice Provost,Executive/Admin and managerial,Full-Time,224316
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,224184
58030,OUS - Oregon State University,Executive 2-Vice Provost,Executive/Admin and managerial,Full-Time,223224
58030,OUS - Oregon State University,Executive 2-Aux Campus,Executive/Admin and managerial,Full-Time,221460
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,216948
58030,OUS - Oregon State University,Executive 3-General Counsel,Executive/Admin and managerial,Full-Time,216420
58030,OUS - Oregon State University,Coordinator-PAC12 Md Asst COA,Other professionals,Full-Time,214260
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,211116
58030,OUS - Oregon State University,Administrator 1-Bud & Fisc Pln,Executive/Admin and managerial,Full-Time,211056
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,210804
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,206016
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,204912
58030,OUS - Oregon State University,Administrator 1-School Head,Executive/Admin and managerial,Full-Time,203004
58030,OUS - Oregon State University,Professor-Endowed Chair,Faculty,Full-Time,202266
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,202266
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,202236
58030,OUS - Oregon State University,Executive 2-Ten Vice Provost,Executive/Admin and managerial,Full-Time,202140
58030,OUS - Oregon State University,Executive 3-Alumni Relations,Executive/Admin and managerial,Full-Time,200004
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,197760
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,194652
58030,OUS - Oregon State University,Administrator 1-Dept Head,Executive/Admin and managerial,Full-Time,194004
58030,OUS - Oregon State University,Executive 3-Research,Executive/Admin and managerial,Full-Time,193728
58030,OUS - Oregon State University,Professor-Endowed Chair,Faculty,Full-Time,191592
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,190008
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,188544
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,186840
58030,OUS - Oregon State University,Executive 3-Fin & Admin,Executive/Admin and managerial,Full-Time,186540
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,186324
58030,OUS - Oregon State University,Executive 3-Internal Audit,Executive/Admin and managerial,Full-Time,185004
58030,OUS - Oregon State University,Executive 3-Assoc Provost,Executive/Admin and managerial,Full-Time,183828
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,183768
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,182667
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,182664
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,182124
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,180228
58030,OUS - Oregon State University,Coordinator-Tier 1 Asst COA,Other professionals,Full-Time,180000
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,179772
58030,OUS - Oregon State University,Executive 3-Assoc Provost,Executive/Admin and managerial,Full-Time,177636
58030,OUS - Oregon State University,Administrator 1-School Head,Executive/Admin and managerial,Full-Time,176820
58030,OUS - Oregon State University,Executive 3-Univ Librarian,Executive/Admin and managerial,Full-Time,176748
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,175680
58030,OUS - Oregon State University,Administrator 3-PAC12 Md H-COA,Executive/Admin and managerial,Full-Time,175008
58030,OUS - Oregon State University,Coordinator-Tier 1 Asst COA,Other professionals,Full-Time,175008
58030,OUS - Oregon State University,Coordinator-Tier 1 Asst COA,Other professionals,Full-Time,175008
58030,OUS - Oregon State University,Administrator 1-Dept Head,Executive/Admin and managerial,Full-Time,174648
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,173709
58030,OUS - Oregon State University,Executive 3-HR,Executive/Admin and managerial,Full-Time,173064
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,171696
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,171696
58030,OUS - Oregon State University,Administrator 1-Dept Head,Executive/Admin and managerial,Full-Time,170376
58030,OUS - Oregon State University,Administrator 1-Bud & Fisc Pln,Executive/Admin and managerial,Full-Time,169956
58030,OUS - Oregon State University,Administrator 1-Dept Head,Executive/Admin and managerial,Full-Time,169488
58030,OUS - Oregon State University,Executive 3- Bus Affairs,Executive/Admin and managerial,Full-Time,167820
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,167607
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,167328
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,167076
58030,OUS - Oregon State University,Professor (Sr Res),Faculty,Full-Time,166968
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,166851
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,166596
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,166512
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,166512
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,165564
58030,OUS - Oregon State University,Administrator 2-Med/Clin Serv,Executive/Admin and managerial,Full-Time,165000
58030,OUS - Oregon State University,Administrator 1-Com & Corp Dev,Executive/Admin and managerial,Full-Time,165000
58030,OUS - Oregon State University,Administrator 2-Med/Clin Serv,Executive/Admin and managerial,Full-Time,164892
58030,OUS - Oregon State University,Executive 3-Bus Servs,Executive/Admin and managerial,Full-Time,164820
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,164133
58030,OUS - Oregon State University,Administrator 1-Marine Project,Executive/Admin and managerial,Full-Time,164004
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,163782
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,163530
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,163212
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,163104
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,162228
58030,OUS - Oregon State University,Executive 3-Student Health,Executive/Admin and managerial,Full-Time,160800
58030,OUS - Oregon State University,Administrator 1-Dept Head,Executive/Admin and managerial,Full-Time,160680
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,160506
58030,OUS - Oregon State University,Professor-Endowed Chair,Faculty,Full-Time,160488
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,160434
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,160428
58030,OUS - Oregon State University,Administrator 1-Dept Head,Executive/Admin and managerial,Full-Time,160008
58030,OUS - Oregon State University,Administrator 1-School Head,Executive/Admin and managerial,Full-Time,160008
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,159660
58030,OUS - Oregon State University,Specialist 1-End Chair,Other professionals,Full-Time,159228
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,159228
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,158664
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,158640
58030,OUS - Oregon State University,Executive 3-Dean,Executive/Admin and managerial,Full-Time,158208
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,157824
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,157644
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,157548
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,156564
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,156456
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,154836
58030,OUS - Oregon State University,Associate Professor,Faculty,Full-Time,154656
58030,OUS - Oregon State University,Administrator 1-Tenure Dir,Executive/Admin and managerial,Full-Time,154632
58030,OUS - Oregon State University,Administrator 1-Assoc Dean,Executive/Admin and managerial,Full-Time,154500
58030,OUS - Oregon State University,Executive 3-Campus Architect,Executive/Admin and managerial,Full-Time,154500
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,154359
58030,OUS - Oregon State University,Administrator 1-Attending Vet,Executive/Admin and managerial,Full-Time,154253
58030,OUS - Oregon State University,Administrator 1-Dept Head,Executive/Admin and managerial,Full-Time,153528
58030,OUS - Oregon State University,Administrator 1-Dept Head,Executive/Admin and managerial,Full-Time,153012
58030,OUS - Oregon State University,Professor,Faculty,Full-Time,152793
58030,OUS - Oregon State University,Administrator 1-Vet Teach Hosp,Executive/Admin and managerial,Full-Time,152760
58030,OUS - Oregon State University,Specialist 1-End Chair,Other professionals,Full-Time,152520
